open,high,low,close,volume,adj_high,adj_low,adj_close,adj_open,adj_volume,split_factor,dividend,symbol,exchange,date
148.95,152.17,145.0,145.03,93436100.0,152.17,145.0,145.03,148.945,93604623.0,1.0,0.0,AAPL,XNAS,2022-11-02T00:00:00+0000
155.08,155.45,149.13,150.65,80321400.0,155.45,149.13,150.65,155.08,80379345.0,1.0,0.0,AAPL,XNAS,2022-11-01T00:00:00+0000
153.16,154.24,151.92,153.34,97848900.0,154.24,151.92,153.34,153.155,97943171.0,1.0,0.0,AAPL,XNAS,2022-10-31T00:00:00+0000
148.2,157.5,147.82,155.74,164659100.0,157.5,147.82,155.74,148.2,164762371.0,1.0,0.0,AAPL,XNAS,2022-10-28T00:00:00+0000
148.07,149.05,144.13,144.8,108284100.0,149.046,144.13,144.8,148.07,109180150.0,1.0,0.0,AAPL,XNAS,2022-10-27T00:00:00+0000
150.96,151.99,148.04,149.35,88194300.0,151.99,148.04,149.35,150.96,88436172.0,1.0,0.0,AAPL,XNAS,2022-10-26T00:00:00+0000
150.09,152.49,149.36,152.34,74373600.0,152.49,149.36,152.34,150.09,74732290.0,1.0,0.0,AAPL,XNAS,2022-10-25T00:00:00+0000
147.19,150.23,146.0,149.45,75904300.0,150.23,146.0,149.45,147.185,75981918.0,1.0,0.0,AAPL,XNAS,2022-10-24T00:00:00+0000
142.87,147.85,142.65,147.27,86464700.0,147.8479,142.649,147.27,142.87,86548609.0,1.0,0.0,AAPL,XNAS,2022-10-21T00:00:00+0000
143.02,145.89,142.65,143.39,64406600.0,145.89,142.65,143.39,143.02,64521989.0,1.0,0.0,AAPL,XNAS,2022-10-20T00:00:00+0000
141.69,144.95,141.5,143.86,61655900.0,144.9492,141.5,143.86,141.69,61758340.0,1.0,0.0,AAPL,XNAS,2022-10-19T00:00:00+0000
145.49,146.7,140.61,143.75,98961900.0,146.7,140.61,143.75,145.49,99136610.0,1.0,0.0,AAPL,XNAS,2022-10-18T00:00:00+0000
141.07,142.9,140.27,142.41,85073900.0,,,142.41,,,1.0,0.0,AAPL,XNAS,2022-10-17T00:00:00+0000
144.31,144.52,138.19,138.38,88512300.0,,,138.38,,,1.0,0.0,AAPL,XNAS,2022-10-14T00:00:00+0000
134.99,143.59,134.37,142.99,113120700.0,,,142.99,,,1.0,0.0,AAPL,XNAS,2022-10-13T00:00:00+0000
139.13,140.36,138.16,138.34,70374100.0,,,138.34,,,1.0,0.0,AAPL,XNAS,2022-10-12T00:00:00+0000
139.9,141.35,138.22,138.98,76969200.0,,,138.98,,,1.0,0.0,AAPL,XNAS,2022-10-11T00:00:00+0000
140.42,141.89,138.57,140.42,74827900.0,,,140.42,,,1.0,0.0,AAPL,XNAS,2022-10-10T00:00:00+0000
142.54,143.1,139.45,140.09,85859100.0,,,140.09,,,1.0,0.0,AAPL,XNAS,2022-10-07T00:00:00+0000
145.81,147.54,145.22,145.43,68285900.0,,,145.43,,,1.0,0.0,AAPL,XNAS,2022-10-06T00:00:00+0000
144.07,147.38,143.01,146.4,79326600.0,,,146.4,,,1.0,0.0,AAPL,XNAS,2022-10-05T00:00:00+0000
145.03,146.22,144.26,146.1,87697800.0,,,146.1,,,1.0,0.0,AAPL,XNAS,2022-10-04T00:00:00+0000
138.21,143.07,137.69,142.45,114169700.0,,,142.45,,,1.0,0.0,AAPL,XNAS,2022-10-03T00:00:00+0000
141.28,143.1,138.0,138.2,124705400.0,,,138.2,,,1.0,0.0,AAPL,XNAS,2022-09-30T00:00:00+0000
146.1,146.72,140.68,142.48,127977800.0,,,142.48,,,1.0,0.0,AAPL,XNAS,2022-09-29T00:00:00+0000
147.64,150.64,144.84,149.84,146514500.0,,,149.84,,,1.0,0.0,AAPL,XNAS,2022-09-28T00:00:00+0000
152.74,154.72,149.95,151.76,84319100.0,,,151.76,,,1.0,0.0,AAPL,XNAS,2022-09-27T00:00:00+0000
149.66,153.77,149.64,150.77,93235300.0,,,150.77,,,1.0,0.0,AAPL,XNAS,2022-09-26T00:00:00+0000
151.19,151.47,148.56,150.43,95939200.0,,,150.43,,,1.0,0.0,AAPL,XNAS,2022-09-23T00:00:00+0000
152.38,154.47,150.91,152.74,86580200.0,,,152.74,,,1.0,0.0,AAPL,XNAS,2022-09-22T00:00:00+0000
157.34,158.74,153.6,153.72,101407100.0,,,153.72,,,1.0,0.0,AAPL,XNAS,2022-09-21T00:00:00+0000
153.4,158.08,153.08,156.9,107547900.0,,,156.9,,,1.0,0.0,AAPL,XNAS,2022-09-20T00:00:00+0000
149.31,154.56,149.1,154.48,81328800.0,,,154.48,,,1.0,0.0,AAPL,XNAS,2022-09-19T00:00:00+0000
151.21,151.35,148.37,150.7,162157000.0,,,150.7,,,1.0,0.0,AAPL,XNAS,2022-09-16T00:00:00+0000
154.65,155.24,151.38,152.37,90263300.0,,,152.37,,,1.0,0.0,AAPL,XNAS,2022-09-15T00:00:00+0000
154.79,157.1,153.61,155.31,87850600.0,,,155.31,,,1.0,0.0,AAPL,XNAS,2022-09-14T00:00:00+0000
159.9,160.54,153.37,153.84,122493100.0,,,153.84,,,1.0,0.0,AAPL,XNAS,2022-09-13T00:00:00+0000
159.59,164.26,159.3,163.43,104806600.0,,,163.43,,,1.0,0.0,AAPL,XNAS,2022-09-12T00:00:00+0000
155.47,157.82,154.75,157.37,68028800.0,,,157.37,,,1.0,0.0,AAPL,XNAS,2022-09-09T00:00:00+0000
154.64,156.36,152.68,154.46,84809500.0,,,154.46,,,1.0,0.0,AAPL,XNAS,2022-09-08T00:00:00+0000
154.82,156.67,153.61,155.96,87342200.0,,,155.96,,,1.0,0.0,AAPL,XNAS,2022-09-07T00:00:00+0000
156.47,157.09,153.69,154.53,73714844.0,,,154.53,,,1.0,0.0,AAPL,XNAS,2022-09-06T00:00:00+0000
